"Compound Name" Mass RT K-1 K-10 K-11 K-12 K-13 K-14 K-15 K-16 K-17 K-18 K-19 K-2 K-20 K-21 K-22 K-23 K-24 K-25 K-26 K-27 K-28 K-29 K-3 K-30 K-4 K-5 K-6 K-7 K-8 K-9 12V0a 13V0 14V0 15V0 16V0 10V0 17V0 11V0 18V0 19V0 20V0 22V0 23V0 24V0 26V0 12V0B 27V0 28V0 29V0 30V0 32V0 25V0 33V0 34V0 35V0 39V0 38V0 36V0 40V0 QC_1 QC_10 QC_11 QC_12 QC_2 QC_3 QC_4 QC_5 QC_6 QC_7 QC_8 QC_9 ...75 "K - controls"
94.0417@1.13 94.0417 1.13 46187.2961 71641.64384 37457.77111 122815.6963 75334.80941 46735.91895 58036.82994 8409.896441 18628.84454 75030.59232 91817.0479 23573.14259 61052.45228 83777.97574 19058.53008 24388.52636 93611.18822 59920.31629 47599.84248 16661.56941 49379.58597 38425.93548 74431.08695 51470.01601 92001.8348 40710.43727 120150.7145 20209.30293 86499.88097 88933.47572 90158.51556 55415.21093 44452.71639 119745.6069 21345.94685 64490.74473 70685.70658 26521.19706 58934.11445 47290.86731 56293.54012 12573.38258 36906.91325 30740.17861 98638.80968 75320.03789 20640.78755 0 33365.66943 30347.97143 79342.6069 110822.5939 48448.2408 37622.64329 25016.71058 20469.55496 23416.26724 15199.78916 21490.69506 56219.75379 49324.18503 51019.565 49518.83236 52494.19293 47341.72563 49354.09828 57459.87722 48120.68461 45906.35295 50206.43879 48755.59509 NA "V0 - parathyroid"
98.9617@10.14 98.9617 10.14 587088.7297 778938.6991 665640.8737 638236.9812 783179.4882 674951.981 642611.3504 801554.6528 671113.1899 710831.7639 612568.3042 750377.2471 760089.546 510745.6221 529549.0156 714789.5124 786056.6217 769912.8856 692296.724 640267.6475 749543.906 703791.0595 629081.4309 667955.8653 582822.2743 456539.7521 592381.9054 759921.5099 709503.5911 717656.3524 846476.3107 806498.1139 705367.0467 848854.922 489045.5302 825887.8871 852991.0433 614339.9054 599404.6183 757752.3698 715390.4968 614512.2714 791155.1617 598241.9116 864228.3363 828749.3529 782367.6912 703924.0235 659590.2468 738795.224 231521.3154 641303.0761 782064.1555 749831.2113 176642.1941 721147.3668 798735.6244 704611.9531 628447.0966 585012.1831 709159.6073 828250.7732 329916.7669 676046.4539 757239.8937 255931.0167 765417.9701 248669.1019 674016.6825 52293.60065 423964.03370000003 NA "QC - quality control samples"
98.9616@9.58 98.9616 9.58 229601.9357 314922.5416 311048.1773 114514.4631 152038.2395 299264.3456 95339.53748 260356.4415 309683.752 603997.6951 232771.3368 412266.6594 351844.1767 310596.2756 241374.32 262830.5353 230212.3731 213719.1748 306773.968 80003.17312 337602.6517 203701.2795 220905.1315 329625.2064 168331.7299 225194.933 178783.2813 253159.5461 324002.6156 377708.7758 337236.5695 262451.9996 208839.8156 321171.0717 150541.1705 283240.8541 457969.1903 101469.03 116016.7593 395293.1643 233723.2114 163936.4896 405512.7637 225008.1811 425174.8795 336844.9755 122393.5444 114398.3284 64315.85235 312867.2499 121119.1467 197480.6455 28097.05257 339750.591 268231.9305 124625.2177 126129.9578 330164.2601 123962.5227 53732.91188 341999.3686 148500.4534 205320.6473 241253.1969 280128.9311 264898.8886 108114.8149 570179.9984 249293.1284 96718.9059 326400.5448 NA NA
99.0684@7.04 99.0684 7.04 47094.06321 26920.28771 38967.29037 40769.02665 32017.47354 33011.8796 41477.31916 40651.38842 19350.43299 41591.81032 36307.19296 29866.96732 25213.36067 23835.44606 25011.1071 21526.36511 26099.71453 25877.37736 20488.58579 49429.30196 31457.60029 28895.3617 39975.98485 36193.18002 45675.28289 33376.44265 37437.60127 33445.6075 27193.51583 27190.37276 46951.05727 20989.13054 16427.15122 11835.00235 42374.08033 30108.46921 31211.7655 41088.44527 24656.40328 43744.04781 27370.95973 38758.33438 34263.90688 19837.6004 14091.9443 40988.75956 22979.12867 24782.17452 20917.88921 25033.17009 31076.18043 33865.11889 25284.99199 43359.96614 30821.50466 28727.74011 36712.90868 18863.88323 33797.80416 31772.24685 28108.23662 27349.19501 29505.05948 31980.52765 30965.44676 721.0744863 30474.17814 31911.58274 31086.16782 30016.43824 19813.20517 NA NA
100.9572@10.15 100.9572 10.15 307989.2113 273251.1227 339952.0672 289079.5085 300293.9573 343062.2253 246498.6822 320367.6243 339710.6831 289236.253 125159.6446 397413.9259 354044.3204 214796.3836 222786.7109 320674.4147 258562.8187 257283.0537 260657.4959 271063.336 306462.9577 324621.9791 332805.9687 265450.7066 315015.4857 263492.9003 266613.6492 133818.2966 290365.1343 266658.1065 368499.5334 276731.3563 341297.7151 390236.8279 66329.54253 140916.3561 49592.3931 330722.3084 101894.264 264896.7872 278428.7731 322242.7401 321713.8226 272313.713 321992.2875 353747.5185 197801.4765 335955.186 278274.0153 310016.5316 210028.6237 282087.983 300999.9807 320956.0159 352884.9044 287047.088 314501.866 299257.037 271740.23 381250.528 294972.0377 96200.47643 257721.8442 281434.0974 308209.1603 114967.2235 326611.3232 243273.7 333125.0128 309258.0187 324674.4823 NA NA
101.1204@10.16 101.1204 10.16 217626.9696 765162.6197 603462.9859 483727.6208 160395.6381 618651.8302 482929.5508 647822.0688 505521.9103 456416.9176 655846.0636 599748.8621 752757.2303 716153.1307 107702.1776 856579.8157 752405.8817 469910.0961 558868.8321 317972.5808 535887.0995 410049.6655 702317.4377 655546.3803 760787.7905 670062.0319 453879.8021 171997.4593 802885.6669 468608.1195 487609.1857 290188.4891 774420.2812 635518.4941 359364.5263 272730.0446 341998.8001 872002.9595 405029.1995 477617.9518 262884.4452 417975.7536 717247.5815 441145.6203 357980.0155 799203.7091 351304.3353 791105.5544 546054.2661 524394.5407 242619.5428 347449.5503 548299.6206 682147.1992 490225.4323 314845.6042 676474.7706 360209.44 283527.2223 479424.8662 669375.5777 747697.7586 732312.8729 637701.1231 609769.2655 696188.1018 620951.5252 371128.0267 574085.4099 840455.6554 595629.3674 NA NA
103.0996@5.73 103.0996 5.73 181019.0984 32063.31547 84284.51141 105350.8923 36964.32007 175600.1063 188012.5959 34461.00842 42163.05628 80938.88507 145951.5929 164472.1335 158991.6111 159057.2806 166069.547 155918.3662 182433.8896 42399.07157 169909.6488 163195.9667 183535.7233 192589.3097 73115.74997 158080.0238 87979.7529 75763.32752 178191.9915 159782.1379 52942.04539 170533.4904 187470.1851 53359.88049 51400.29722 137949.8946 167840.9523 151665.5271 39108.87952 176788.2192 49094.94585 190790.7876 76147.19937 45375.79974 160545.1669 172733.897 127207.2108 103364.9665 70562.82687 102038.3943 184567.4746 186116.8963 206827.277 68296.70642 160083.8242 166653.1473 133946.0871 164915.1188 159952.0206 160482.9019 55089.3857 166984.2735 52708.45949 66050.52176 169631.5827 166092.3613 164106.6686 175623.2657 179103.9334 69453.45347 158839.0132 167688.5783 56411.90469 NA NA
103.0996@5.72 103.0996 5.72 179634.1992 32276.26441 187416.3147 195377.26439999999 37491.53584 175655.8582 188443.6557 170062.6093 42740.2294 81193.37462 146184.2867 164800.6306 159226.8884 159258.0843 166769.1027 155462.8542 182736.069 42588.6445 170270.5355 36364.33211 184831.5653 18616.77927 73340.41171 158079.6153 91616.14963 120725.7847 178763.3617 159762.5368 52942.04539 170533.4904 188799.5677 54285.92048 52214.32741 138544.6911 167840.9523 151720.44 42924.29887 177177.5485 49462.04987 72059.03368 76388.68279 163596.2966 160984.5599 173188.1324 127673.4606 103270.5201 65582.51156 137204.0776 185918.4532 186883.2663 207620.7764 68548.74371 160083.8242 166924.556 134033.9872 165046.3491 159937.0725 160118.4966 57553.99174 166873.8089 52766.68341 169614.5086 166107.5091 166583.1365 164247.2557 176233.473 179004.3083 69842.69039 60599.58357 168145.3611 174582.5963 NA NA
103.0993@6.3 103.0993 6.3 96784.19245 28758.10453 90112.13147 103318.7603 62859.0323 68316.7905 88838.01647 34636.77814 42880.51811 83290.62221 51251.92089 66010.25285 49149.4566 53922.00145 60697.07809 53724.10338 88012.44708 46839.08878 69945.5626 73767.28081 78612.89157 94531.77971 56083.08176 72071.79371 90512.11045 81680.95628 80942.8214 56356.44144 71405.55423 74498.01669 92430.88793 49686.81242 44161.73166 28430.86318 67300.67357 41434.52452 53636.6304 48771.7763 42583.18377 90409.21573 84575.81084 38108.5429 61406.01567 67719.56118 33467.12555 99504.90227 64679.9434 90372.99955 84635.96859 69248.54909 123629.0158 83499.30627 58743.27718 49055.8487 40772.92436 52143.93373 51402.22549 52027.42007 69287.3203 67371.18229 59923.18829 66208.51801 67039.54088 64372.31989 64689.03028 68977.04696 70019.16445 72505.45982 71679.16549 61982.38643 69348.83853 NA NA
103.0996@5.51 103.0996 5.51 104747.4895 77170.50605 144627.8641 131560.004 154163.6019 95232.43212 138771.5526 82980.61758 149712.5442 128878.191 85991.85756 120929.209 109495.7215 82920.73995 166904.308 102415.5964 182717.6481 153694.9363 99246.73945 165390.8128 120702.1816 134072.5534 100415.4665 159603.6466 138470.9537 173726.2257 92710.18587 92773.2193 102794.313 111747.2784 189090.3179 163285.6916 140697.1031 66665.22299 170819.1753 87314.21037 106299.6725 108396.0233 102964.3153 119038.1993 134676.3691 96528.42238 113885.2262 172255.3404 52902.11086 9941.486354 162532.1856 186646.5227 129278.2741 119757.9173 131711.2162 104434.4287 84638.45459 89927.29687 133978.593 74559.91717 106028.7933 73052.61361 98632.50198 166187.3413 98715.623560000007 118970.3269 108298.7243 167546.7436 99791.95903 107622.3175 179111.1661 9740.375593 158413.0348 168723.8341 104778.5212 NA NA
